Headline,Body ID,Stance
Muslims BUSTED: They Stole Millions In Gov‚Äôt Benefits,0,agree
Re: Why Did Attorney General Loretta Lynch Plead The Fifth?,1,agree
BREAKING: Weiner Cooperating With FBI On Hillary Email Investigation,2,agree
"PIN DROP SPEECH BY FATHER OF DAUGHTER Kidnapped And Killed By ISIS: ""I have voted for Donald J. Trump!"" ¬ª 100percentfedUp.com",3,agree
FANTASTIC! TRUMP'S 7 POINT PLAN To Reform Healthcare Begins With A Bombshell! ¬ª 100percentfedUp.com,4,agree
Hillary Goes Absolutely Berserk On Protester At Rally! (Video),5,agree
"BREAKING! NYPD Ready To Make Arrests In Weiner Case‚Ä¶Hillary Visited Pedophile Island At Least 6 Times‚Ä¶Money Laundering, Underage Sex, Pay-for-Play,Proof of Inappropriate Handling Classified Information ¬ª 100percentfedUp.com",6,agree
WOW! WHISTLEBLOWER TELLS CHILLING STORY Of Massive Voter Fraud: Trump Campaign Readies Lawsuit Against FL Sec Of Elections In Critical District [VIDEO] ¬ª 100percentfedUp.com,7,agree
BREAKING: CLINTON CLEARED...Was This A Coordinated Last Minute Trick To Energize Hillary's Base? ¬ª 100percentfedUp.com,8,agree
"EVIL HILLARY SUPPORTERS Yell ""F*ck Trump""‚Ä¶Burn Truck Of Daddy Fishing With 2 Yr Son Over Of Trump Bumper-Stickers [VIDEO] ¬ª 100percentfedUp.com",9,agree
YIKES! HILLARY GOES OFF THE RAILS‚Ä¶Pulls A Howard Dean [Video],10,disagree
SAY GOODBYE! These 23 Hollywood Celebs Threatened To Leave The U.S....Let's Hold Them To It! ¬ª 100percentfedUp.com,11,agree
NOT KIDDING: Colleges Give Students ‚ÄúSafe Spaces‚Äù To Cry Over Trump Win‚Ä¶Threaten Students Over Pro-Trump ‚ÄúChalkings‚Äù,12,agree
BOOM! MATH SHOWS Trump Would Have Beaten Obama In Romney-Obama Election ¬ª 100percentfedUp.com,13,agree
"BOOM! This Is How President Reagan Handled Protesters: ""Negotiate? What is there to negotiate?"" [Video] ¬ª 100percentfedUp.com",14,disagree
TRUMP SUPPORTER GOT NUTS On MSNBC Reporter Covering Anti-Trump Rioters [Video],15,disagree
TOMI LAHREN Has Special Message For Celebrities Who Said They'd Move To Canada If Trump Won [VIDEO] ¬ª 100percentfedUp.com,16,disagree
#BoycottComedian‚Ä¶ROBERT DENIRO Wanted ‚ÄúTo Punch Trump In The Face‚Äù‚Ä¶Supports Anti-Trump Rioters‚Ä¶Now Wants Americans To Support His New Movie [VIDEO],17,agree
HE‚ÄôS NEVER SOLD AN ORIGINAL PAINTING UNTIL NOW‚Ä¶And This One‚Äôs Going In The White House,18,agree
SORRY LIBERALS‚Ä¶You Can Stop With The Petitions‚Ä¶Hillary Did NOT Win The Popular Vote,19,disagree
